,Accuracy
0,10.975609756097562
1,18.29268292682927
2,21.54471544715447
3,24.796747967479675
4,26.016260162601625
5,29.26829268292683
6,25.609756097560975
7,33.333333333333336
8,30.89430894308943
9,31.70731707317073
10,39.83739837398374
11,37.80487804878049
12,39.43089430894309
13,39.43089430894309
14,35.77235772357724
15,41.86991869918699
16,41.05691056910569
17,42.27642276422764
18,42.27642276422764
19,48.3739837398374
20,47.96747967479675
21,47.96747967479675
22,46.34146341463415
23,45.52845528455285
24,47.96747967479675
25,43.08943089430894
26,43.49593495934959
27,40.24390243902439
28,42.27642276422764
29,43.90243902439025
30,47.96747967479675
31,46.34146341463415
32,44.3089430894309
33,45.9349593495935
34,44.71544715447155
35,46.7479674796748
36,50.0
37,46.34146341463415
38,46.34146341463415
39,46.34146341463415
40,47.5609756097561
41,49.1869918699187
42,49.1869918699187
43,51.6260162601626
44,46.34146341463415
45,47.15447154471545
46,46.34146341463415
47,49.59349593495935
48,50.8130081300813
49,48.78048780487805
50,50.8130081300813
51,48.78048780487805
52,47.15447154471545
53,39.83739837398374
54,44.71544715447155
55,45.1219512195122
56,49.59349593495935
57,47.15447154471545
58,42.27642276422764
59,41.46341463414634
60,43.90243902439025
61,41.05691056910569
62,47.5609756097561
63,45.1219512195122
64,43.49593495934959
65,46.34146341463415
66,48.3739837398374
67,50.40650406504065
68,47.96747967479675
69,45.52845528455285
70,47.15447154471545
71,44.3089430894309
72,45.9349593495935
73,44.3089430894309
74,45.52845528455285
75,49.1869918699187
76,52.4390243902439
77,50.40650406504065
78,41.05691056910569
79,47.96747967479675
80,47.96747967479675
81,47.5609756097561
82,54.47154471544715
83,50.8130081300813
84,48.78048780487805
85,50.8130081300813
86,47.96747967479675
87,50.40650406504065
88,49.59349593495935
89,47.15447154471545
90,50.8130081300813
91,49.59349593495935
92,49.59349593495935
93,49.59349593495935
94,49.59349593495935
95,50.40650406504065
96,50.40650406504065
97,48.78048780487805
98,49.59349593495935
99,48.3739837398374
100,50.40650406504065
101,48.3739837398374
102,48.78048780487805
103,48.78048780487805
104,48.78048780487805
105,49.59349593495935
106,49.1869918699187
107,49.1869918699187
108,48.3739837398374
109,50.40650406504065
110,49.59349593495935
111,50.0
112,48.3739837398374
113,50.0
114,49.59349593495935
115,50.0
116,50.8130081300813
117,48.78048780487805
118,50.8130081300813
119,50.0
120,49.1869918699187
121,49.1869918699187
122,49.59349593495935
123,49.1869918699187
124,49.1869918699187
125,49.59349593495935
126,48.78048780487805
127,49.59349593495935
128,48.78048780487805
129,49.1869918699187
130,49.1869918699187
131,49.59349593495935
132,49.59349593495935
133,48.78048780487805
134,49.1869918699187
135,48.78048780487805
136,49.1869918699187
137,49.59349593495935
138,49.59349593495935
139,49.59349593495935
140,49.59349593495935
141,47.96747967479675
142,49.1869918699187
143,49.1869918699187
144,49.1869918699187
145,48.78048780487805
146,49.1869918699187
147,48.78048780487805
148,48.78048780487805
149,48.78048780487805
150,50.0
151,50.0
152,48.78048780487805
153,49.59349593495935
154,49.1869918699187
155,49.1869918699187
156,49.59349593495935
157,48.78048780487805
158,49.59349593495935
159,48.78048780487805
160,50.0
161,48.78048780487805
162,49.1869918699187
163,49.59349593495935
164,49.1869918699187
165,49.1869918699187
166,48.3739837398374
167,49.1869918699187
168,48.78048780487805
169,49.1869918699187
170,49.1869918699187
171,49.1869918699187
172,49.1869918699187
173,49.1869918699187
174,49.1869918699187
175,49.59349593495935
176,48.78048780487805
177,49.59349593495935
178,49.59349593495935
179,49.59349593495935
180,49.59349593495935
181,49.59349593495935
182,49.1869918699187
183,48.78048780487805
184,50.0
185,48.78048780487805
186,48.78048780487805
187,49.59349593495935
188,49.1869918699187
189,50.0
190,48.78048780487805
191,49.59349593495935
192,48.78048780487805
193,49.1869918699187
194,48.78048780487805
195,49.1869918699187
196,49.59349593495935
197,49.59349593495935
198,49.59349593495935
199,48.3739837398374
200,49.1869918699187
201,49.1869918699187
202,48.78048780487805
203,49.59349593495935
204,49.59349593495935
205,49.59349593495935
206,49.1869918699187
207,49.1869918699187
208,49.1869918699187
209,48.78048780487805
210,49.59349593495935
211,50.0
212,49.1869918699187
213,49.1869918699187
214,48.78048780487805
215,49.59349593495935
216,49.59349593495935
217,49.1869918699187
218,49.59349593495935
219,49.59349593495935
220,49.1869918699187
221,49.1869918699187
222,49.1869918699187
223,49.1869918699187
224,49.59349593495935
225,49.59349593495935
226,49.1869918699187
227,49.1869918699187
228,49.1869918699187
229,49.59349593495935
230,49.1869918699187
231,49.1869918699187
232,49.1869918699187
233,49.59349593495935
234,49.1869918699187
235,49.59349593495935
236,50.0
237,49.59349593495935
238,50.0
239,49.59349593495935
240,49.59349593495935
241,49.1869918699187
242,49.1869918699187
243,49.59349593495935
244,50.0
245,50.0
246,49.1869918699187
247,50.0
248,50.0
249,49.1869918699187
250,49.59349593495935
251,50.0
252,50.0
253,49.59349593495935
254,50.0
255,49.59349593495935
256,49.59349593495935
257,50.0
258,49.59349593495935
259,49.59349593495935
260,49.59349593495935
261,50.0
262,50.0
263,50.0
264,49.59349593495935
265,49.59349593495935
266,50.0
267,49.59349593495935
268,50.0
269,50.0
270,48.78048780487805
271,26.422764227642276
272,30.48780487804878
273,30.08130081300813
274,37.80487804878049
275,38.21138211382114
276,36.58536585365854
277,42.27642276422764
278,45.52845528455285
279,49.1869918699187
280,46.7479674796748
281,43.49593495934959
282,44.71544715447155
283,42.27642276422764
284,45.1219512195122
285,36.99186991869919
286,40.65040650406504
287,42.27642276422764
288,43.08943089430894
289,47.15447154471545
290,41.05691056910569
291,36.58536585365854
292,38.61788617886179
293,40.65040650406504
294,39.83739837398374
295,43.08943089430894
296,48.78048780487805
297,47.5609756097561
298,47.15447154471545
299,46.7479674796748
